city,state_name,county_name,lattitude,longitude,id
Rangely,Colorado,Rio Blanco,40.0861,-108.7795,1840021417
Hudson,Michigan,Lenawee,41.8569,-84.3451,1840003229
Glen Lyon,Pennsylvania,Luzerne,41.1806,-76.0785,1840004912
Gap,Pennsylvania,Lancaster,39.9888,-76.0212,1840005491
Granby,Missouri,Newton,36.918,-94.2607,1840008792
Canadian,Texas,Hemphill,35.9096,-100.3838,1840019082
San Rafael,New Mexico,Cibola,35.101,-107.8899,1840024968
Henry,Illinois,Marshall,41.1172,-89.3569,1840007162
Perry,Michigan,Shiawassee,42.8195,-84.232,1840003069
Waynesboro,Tennessee,Wayne,35.3235,-87.7593,1840015439
Riverbend,Washington,King,47.4653,-121.7493,1840037860
Center,Colorado,Saguache,37.7512,-106.1105,1840022517
South Taft,California,Kern,35.1293,-119.4575,1840019130
New Eagle,Pennsylvania,Washington,40.2063,-79.9532,1840003662
Center Point,New Mexico,San Juan,36.872,-107.9551,1840150460
Leonardo,New Jersey,Monmouth,40.419,-74.0599,1840005448
North Falmouth,Massachusetts,Barnstable,41.6394,-70.6251,1840004759
Sugarcreek,Ohio,Tuscarawas,40.5076,-81.6409,1840012098
Burns Harbor,Indiana,Porter,41.6187,-87.1257,1840009266
Fruitland,North Carolina,Henderson,35.3928,-82.4119,1840024955
Dalworthington Gardens,Texas,Tarrant,32.6937,-97.1567,1840019432
Croswell,Michigan,Sanilac,43.2736,-82.6177,1840002700
Como,Wisconsin,Walworth,42.6126,-88.4858,1840004478
Spring City,Tennessee,Rhea,35.6881,-84.8622,1840017789
Lincoln Park,New York,Ulster,41.9566,-74.0018,1840004720
Santa Rosa Valley,California,Ventura,34.2459,-118.9018,1840042299
York,Alabama,Sumter,32.4998,-88.2938,1840015778
Kahuku,Hawaii,Honolulu,21.6793,-157.9473,1840029491
Glen Rock,Pennsylvania,York,39.7935,-76.7307,1840001447
Texanna,Oklahoma,McIntosh,35.3572,-95.5047,1840019158
Fredonia,Wisconsin,Ozaukee,43.4715,-87.949,1840002822
Ravensworth,Virginia,Fairfax,38.8033,-77.2222,1840024581
North Sarasota,Florida,Sarasota,27.3592,-82.5213,1840029061
Brownville,New Jersey,Middlesex,40.4014,-74.2959,1840033468
Park Falls,Wisconsin,Price,45.9348,-90.4464,1840002010
Corralitos,California,Santa Cruz,36.9941,-121.7892,1840017647
Mountain City,Tennessee,Johnson,36.4696,-81.8049,1840016016
Winnie,Texas,Chambers,29.8167,-94.3807,1840019632
Shawneeland,Virginia,Frederick,39.1968,-78.3465,1840037404
Helmetta,New Jersey,Middlesex,40.3777,-74.4238,1840003635
Middletown,Indiana,Henry,40.0595,-85.5423,1840009482
Kinsey,Alabama,Houston,31.2926,-85.3353,1840017127
Allyn,Washington,Mason,47.3863,-122.8386,1840025251
Darlington,Wisconsin,Lafayette,42.6765,-90.1201,1840003098
Rockwell City,Iowa,Calhoun,42.3981,-94.6289,1840009120
Whitesboro,New Jersey,Cape May,39.0419,-74.8677,1840033443
Greenfield,Tennessee,Weakley,36.16,-88.8036,1840013316
Nekoosa,Wisconsin,Wood,44.3134,-89.9073,1840002338
Beresford,South Dakota,Union,43.0797,-96.7803,1840003079
Bertsch-Oceanview,California,Del Norte,41.7524,-124.1594,1840036786
East Oakdale,California,Stanislaus,37.7855,-120.8009,1840018907
Rockville,Minnesota,Stearns,45.4654,-94.3218,1840008877
Chester,West Virginia,Hancock,40.6129,-80.5628,1840005403
Lake Ozark,Missouri,Miller,38.2035,-92.6258,1840008660
Upper Nyack,New York,Rockland,41.1143,-73.9058,1840004988
Italy,Texas,Ellis,32.1857,-96.8867,1840022086
Charlevoix,Michigan,Charlevoix,45.3137,-85.2558,1840003944
Cross City,Florida,Dixie,29.6386,-83.1248,1840017280
Ingalls,Indiana,Madison,39.9748,-85.8157,1840010457
Wheeler AFB,Hawaii,Honolulu,21.4756,-158.0352,1840075054
Thoreau,New Mexico,McKinley,35.4251,-108.2012,1840019096
Mission Canyon,California,Santa Barbara,34.4549,-119.7121,1840028348
Poland,Ohio,Mahoning,41.022,-80.6156,1840011777
Farmington,Mississippi,Alcorn,34.9224,-88.4432,1840016512
Hinton,West Virginia,Summers,37.6652,-80.8828,1840006368
Tahoka,Texas,Lynn,33.164,-101.7949,1840022027
Sorgho,Kentucky,Daviess,37.7518,-87.219,1840060588
Prince Frederick,Maryland,Calvert,38.544,-76.5879,1840014982
Newaygo,Michigan,Newaygo,43.4162,-85.8031,1840002679
La Porte City,Iowa,Black Hawk,42.3137,-92.1913,1840008064
Koloa,Hawaii,Kauai,21.9031,-159.4611,1840029510
Bay,Arkansas,Craighead,35.7456,-90.5546,1840013395
Hermann,Missouri,Gasconade,38.6983,-91.4342,1840007473
Petersburg,Indiana,Pike,38.4919,-87.281,1840009799
Bellevue,Iowa,Jackson,42.2624,-90.4318,1840006981
Effort,Pennsylvania,Monroe,40.9436,-75.439,1840026362
Thruston,Kentucky,Daviess,37.7903,-87.0265,1840062416
Graceville,Florida,Jackson,30.9609,-85.5123,1840013906
Hedwig Village,Texas,Harris,29.7799,-95.5193,1840020923
Ozona,Texas,Crockett,30.7074,-101.206,1840019563
Dover,Arkansas,Pope,35.391,-93.1143,1840013423
Cass City,Michigan,Tuscola,43.6007,-83.1767,1840010049
Bodfish,California,Kern,35.5765,-118.4764,1840017810
Inverness,Colorado,Arapahoe,39.5758,-104.8653,1840028591
Cienegas Terrace,Texas,Val Verde,29.3687,-100.9432,1840037038
Des Allemands,Louisiana,St. Charles,29.8162,-90.4746,1840013109
Alamo,Tennessee,Crockett,35.783,-89.1168,1840015368
Leipsic,Ohio,Putnam,41.1096,-83.9674,1840011749
Heber-Overgaard,Arizona,Navajo,34.4141,-110.5696,1840074050
Wray,Colorado,Yuma,40.0802,-102.2284,1840021412
Many,Louisiana,Sabine,31.566,-93.4773,1840017063
Kensington,Maryland,Montgomery,39.0269,-77.0736,1840005856
Elysburg,Pennsylvania,Northumberland,40.868,-76.5492,1840005177
Drew,Mississippi,Sunflower,33.8101,-90.5304,1840013698
Cabin John,Maryland,Montgomery,38.9742,-77.1632,1840005828
Lemont,Pennsylvania,Centre,40.8121,-77.816,1840005164
Bay City,Oregon,Tillamook,45.5216,-123.8858,1840018552
Fritch,Texas,Hutchinson,35.6431,-101.5964,1840020394
Tremont,Illinois,Tazewell,40.5253,-89.4888,1840011994
Taylorsville,North Carolina,Alexander,35.9175,-81.1754,1840016220
Spruce Pine,North Carolina,Mitchell,35.9104,-82.0731,1840017751
West Hammond,New Mexico,San Juan,36.6807,-108.0433,1840040220
Eleele,Hawaii,Kauai,21.9087,-159.5802,1840029471
Brewster,Washington,Okanogan,48.1015,-119.7762,1840018359
Palmas del Mar,Puerto Rico,Humacao,18.0922,-65.8005,1630027040
Los Llanos,Puerto Rico,Coamo,18.0579,-66.4092,1630023663
Port Allegany,Pennsylvania,McKean,41.8148,-78.2769,1840000528
Kerhonkson,New York,Ulster,41.7779,-74.2955,1840004718
San Ysidro,New Mexico,Doña Ana,32.3568,-106.8129,1840148458
Altamont,Illinois,Effingham,39.0566,-88.7477,1840007402
Riverside,Pennsylvania,Northumberland,40.9459,-76.6461,1840000848
Morrisville,Vermont,Lamoille,44.5583,-72.5933,1840004080
Pegram,Tennessee,Cheatham,36.1037,-87.0565,1840016091
Lake Holiday,Virginia,Frederick,39.3092,-78.3245,1840043223
Gassville,Arkansas,Baxter,36.2849,-92.4869,1840013330
Driggs,Idaho,Teton,43.7299,-111.1043,1840018635
Kimball,Nebraska,Kimball,41.2335,-103.6513,1840008252
Sells,Arizona,Pima,31.9202,-111.8775,1840019485
Lake Summerset,Illinois,Winnebago,42.4519,-89.3986,1840004634
Sour Lake,Texas,Hardin,30.1378,-94.4046,1840022183
New Lisbon,Wisconsin,Juneau,43.8781,-90.1624,1840002232
Rockville,Indiana,Parke,39.7666,-87.2295,1840014205
Whitesburg,Kentucky,Letcher,37.1183,-82.823,1840015259
Eddystone,Pennsylvania,Delaware,39.8566,-75.3342,1840000697
Rouses Point,New York,Clinton,44.9933,-73.3633,1840004043
Oakboro,North Carolina,Stanly,35.2283,-80.3339,1840016368
Pine Beach,New Jersey,Ocean,39.9359,-74.17,1840001484
Pine Crest,Tennessee,Carter,36.2965,-82.3106,1840036143
Sierra Ridge,Colorado,Douglas,39.5286,-104.8172,1840148649
Bridgeport,Alabama,Jackson,34.9496,-85.7243,1840001007
Cudjoe Key,Florida,Monroe,24.6745,-81.4986,1840029031
Colorado City,Colorado,Pueblo,37.9381,-104.8451,1840017587
Staples,Minnesota,Wadena,46.369,-94.8019,1840008860
Masury,Ohio,Trumbull,41.2083,-80.5378,1840004901
San José,Puerto Rico,Toa Baja,18.4029,-66.2492,1630023734
Stagecoach,Nevada,Lyon,39.3656,-119.3832,1840026616
West Wareham,Massachusetts,Plymouth,41.79,-70.755,1840003202
Jackson,Kentucky,Breathitt,37.5589,-83.3783,1840014357
Rolling Fork,Mississippi,Sharkey,32.9073,-90.8769,1840014860
Kouts,Indiana,Porter,41.3172,-87.0266,1840009269
Gambier,Ohio,Knox,40.3764,-82.3949,1840012140
Tullytown,Pennsylvania,Bucks,40.1401,-74.8107,1840001316
Belvedere,California,Marin,37.8735,-122.4662,1840018890
South Pottstown,Pennsylvania,Chester,40.2367,-75.6599,1840005503
Commerce,Oklahoma,Ottawa,36.9349,-94.8615,1840018984
Stephens City,Virginia,Frederick,39.0902,-78.223,1840005777
Georgetown,Pennsylvania,Luzerne,41.2271,-75.8722,1840144823
Macopin,New Jersey,Passaic,41.0336,-74.3828,1840033332
Greensburg,Kentucky,Green,37.2599,-85.4962,1840013243
Kerens,Texas,Navarro,32.1308,-96.2252,1840019504
Isle of Hope,Georgia,Chatham,31.9848,-81.0532,1840013837
Lakeview,California,Riverside,33.8285,-117.1233,1840017990
Rineyville,Kentucky,Hardin,37.7501,-85.9703,1840030569
Monrovia,Maryland,Frederick,39.357,-77.2747,1840024453
Turner,Oregon,Marion,44.8489,-122.9518,1840021229
Mayflower,Arkansas,Faulkner,34.9688,-92.4224,1840015464
Chetek,Wisconsin,Barron,45.316,-91.6532,1840002071
Kentwood,Louisiana,Tangipahoa,30.9339,-90.5153,1840017154
Marcus Hook,Pennsylvania,Delaware,39.8131,-75.4165,1840000701
Kalkaska,Michigan,Kalkaska,44.7318,-85.1834,1840010929
Magnolia,Texas,Montgomery,30.2115,-95.742,1840020884
Athens,Illinois,Menard,39.9618,-89.7217,1840007262
Gibbsboro,New Jersey,Camden,39.8333,-74.9657,1840003776
Elberta,Alabama,Baldwin,30.3855,-87.5888,1840017125
Falconer,New York,Chautauqua,42.1191,-79.1969,1840004564
Kenly,North Carolina,Johnston,35.5885,-78.137,1840016288
Mount Zion,Georgia,Carroll,33.6408,-85.1803,1840014802
Sparks,Georgia,Cook,31.1693,-83.4405,1840018187
Sugar City,Idaho,Madison,43.8762,-111.751,1840021277
New Miami,Ohio,Butler,39.4319,-84.5399,1840012608
Mariano Colón,Puerto Rico,Coamo,18.0287,-66.3356,1630023664
Antlers,Oklahoma,Pushmataha,34.2329,-95.6229,1840019255
North Judson,Indiana,Starke,41.2161,-86.7769,1840009310
Thornton,Illinois,Cook,41.5711,-87.6187,1840011330
Dunkirk,Maryland,Calvert,38.7156,-76.673,1840006144
Wakarusa,Indiana,Elkhart,41.5336,-86.0137,1840010194
Flandreau,South Dakota,Moody,44.0465,-96.5983,1840002534
Lake of the Woods,Illinois,Champaign,40.2056,-88.3725,1840029898
Plattsburg,Missouri,Clinton,39.5644,-94.4615,1840009557
Haslet,Texas,Tarrant,32.9609,-97.3387,1840020699
Anahuac,Texas,Chambers,29.7649,-94.6787,1840019633
Wrens,Georgia,Jefferson,33.207,-82.3878,1840015739
Eureka,Kansas,Greenwood,37.8261,-96.289,1840001672
Roosevelt Gardens,Florida,Broward,26.1406,-80.181,1840029108
Juniper Canyon,Oregon,Crook,44.2027,-120.755,1840150465
Siena College,New York,Albany,42.719,-73.75,1840152107
Rockwell,North Carolina,Rowan,35.5538,-80.407,1840017786
Brundidge,Alabama,Pike,31.7182,-85.8178,1840013848
Lithopolis,Ohio,Fairfield,39.8112,-82.8155,1840012469
Cave City,Arkansas,Sharp,35.9481,-91.5468,1840014445
Gumlog,Georgia,Franklin,34.495,-83.0975,1840029455
Stanfield,Oregon,Umatilla,45.7846,-119.2187,1840021193
Fannett,Texas,Jefferson,29.925,-94.2389,1840026033
Merkel,Texas,Taylor,32.4698,-100.0111,1840023054
Oakhurst,Oklahoma,Tulsa,36.0825,-96.0643,1840019074
Alpha,New Jersey,Warren,40.6598,-75.1571,1840003572
Westmorland,California,Imperial,33.0389,-115.6223,1840022001
West Branch,Iowa,Cedar,41.6661,-91.3441,1840010174
Colfax,California,Placer,39.0938,-120.9532,1840018818
Meyersdale,Pennsylvania,Somerset,39.8133,-79.0277,1840003740
Woodbine,New Jersey,Cape May,39.2283,-74.8096,1840001604
Anchor Point,Alaska,Kenai Peninsula,59.7703,-151.7052,1840023410
Sully Square,Virginia,Fairfax,38.9183,-77.4248,1840153062
Shinnston,West Virginia,Harrison,39.3923,-80.2989,1840005769
Tavernier,Florida,Monroe,25.0188,-80.5132,1840014252
Lamoni,Iowa,Decatur,40.6201,-93.9308,1840001004
Lima,Pennsylvania,Delaware,39.9194,-75.4416,1840035060
Pleasantdale,New Jersey,Essex,40.8061,-74.2713,1840081233
Cherryvale,Kansas,Montgomery,37.269,-95.5536,1840001706
Manchester,Michigan,Washtenaw,42.1483,-84.0346,1840011194
Oak Hills,Pennsylvania,Butler,40.8262,-79.9152,1840035432
Wells,Minnesota,Faribault,43.7427,-93.7281,1840010043
Carlisle,Arkansas,Lonoke,34.7947,-91.7361,1840014628
Johnsonburg,Pennsylvania,Elk,41.4913,-78.6791,1840000616
McConnelsville,Ohio,Morgan,39.6568,-81.8467,1840012569
Pymatuning Central,Pennsylvania,Crawford,41.5855,-80.4795,1840035155
Pojoaque,New Mexico,Santa Fe,35.8962,-106.0105,1840019101
New Market,Virginia,Shenandoah,38.6459,-78.6709,1840006003
Ten Mile Run,New Jersey,Somerset,40.4218,-74.589,1840033462
Warsaw,Virginia,Richmond,37.9603,-76.761,1840006314
Scottsville,New York,Monroe,43.0221,-77.7555,1840004284
East Ithaca,New York,Tompkins,42.4276,-76.4612,1840033874
Davisboro,Georgia,Washington,32.9826,-82.6032,1840014850
Delcambre,Louisiana,Vermilion,29.9516,-91.9916,1840017210
Carlin,Nevada,Elko,40.719,-116.1081,1840018706
Woodcreek,Texas,Hays,30.0266,-98.1115,1840022191
Big Lake,Washington,Skagit,48.389,-122.2435,1840017313
Guyton,Georgia,Effingham,32.341,-81.4224,1840013823
Stonewall,Louisiana,De Soto,32.2716,-93.8099,1840017014
Kiln,Mississippi,Hancock,30.4171,-89.4322,1840013949
Point of Rocks,Maryland,Frederick,39.2782,-77.5291,1840024454
Cumberland,Kentucky,Harlan,36.9824,-82.992,1840014403
East Quincy,California,Plumas,39.9165,-120.9189,1840017517
Neodesha,Kansas,Wilson,37.4241,-95.6848,1840003853
Council Grove,Kansas,Morris,38.6617,-96.4909,1840001648
Blue Mound,Texas,Tarrant,32.8543,-97.3383,1840019426
Anderson,Missouri,McDonald,36.6532,-94.4441,1840007661
Schofield,Wisconsin,Marathon,44.9152,-89.6144,1840002173
Prairie Creek,Arkansas,Benton,36.3412,-94.0602,1840027774
Spring Arbor,Michigan,Jackson,42.2055,-84.5551,1840004654
Bloomfield,Missouri,Stoddard,36.8875,-89.9306,1840007642
North Beach Haven,New Jersey,Ocean,39.6008,-74.2123,1840005532
Rising Sun,Indiana,Ohio,38.9531,-84.8544,1840014664
Westby,Wisconsin,Vernon,43.653,-90.8584,1840002689
Mountain Lodge Park,New York,Orange,41.3867,-74.1419,1840026299
Essex Fells,New Jersey,Essex,40.8271,-74.2798,1840005355
Royal City,Washington,Grant,46.9018,-119.6205,1840019816
Wilderness Rim,Washington,King,47.4464,-121.769,1840042145
Vernonia,Oregon,Columbia,45.8611,-123.1834,1840021187
Pine Level,North Carolina,Johnston,35.5029,-78.2492,1840016293
Lincoln,Arkansas,Washington,35.949,-94.4174,1840015335
Southmont,Pennsylvania,Cambria,40.3108,-78.9327,1840001126
Wenonah,New Jersey,Gloucester,39.7913,-75.1486,1840001525
Pennville,Pennsylvania,York,39.7869,-76.9921,1840035148
Hoback,Wyoming,Teton,43.3082,-110.7443,1840017430
Hebron,Ohio,Licking,39.9644,-82.4898,1840012330
Denmark,Wisconsin,Brown,44.3493,-87.8313,1840002347
Neuse Forest,North Carolina,Craven,34.966,-76.94,1840033020
Ramapo College of New Jersey,New Jersey,Bergen,41.0814,-74.175,1840144113
Rockport,Indiana,Spencer,37.8895,-87.0542,1840009848
Flora,Mississippi,Madison,32.5433,-90.3141,1840016958
Brooks,Kentucky,Bullitt,38.0656,-85.7177,1840013215
Cabazon,California,Riverside,33.9127,-116.7828,1840017982
Willow Springs,Missouri,Howell,36.9877,-91.962,1840010888
Richmond,Illinois,McHenry,42.4639,-88.3093,1840011138
Dunnellon,Florida,Marion,29.0572,-82.4289,1840014039
Valley Hill,North Carolina,Henderson,35.2958,-82.4913,1840013447
Weldon,California,Kern,35.6431,-118.3102,1840019145
Lyons,Colorado,Boulder,40.223,-105.2692,1840022423
Trexlertown,Pennsylvania,Lehigh,40.5523,-75.6039,1840026410
Mount Vernon,Georgia,Montgomery,32.1834,-82.5959,1840014905
Soulsbyville,California,Tuolumne,37.9917,-120.2617,1840018878
White Castle,Louisiana,Iberville,30.1611,-91.1495,1840017193
Adrian,Missouri,Bates,38.3944,-94.3435,1840007511
Vineyard Haven,Massachusetts,Dukes,41.4572,-70.607,1840004895
Hopewell,Tennessee,Bradley,35.2388,-84.9139,1840013479
Arcola,Virginia,Loudoun,38.9447,-77.5307,1840024494
Gray Summit,Missouri,Franklin,38.4949,-90.8163,1840006160
Bennington,Nebraska,Douglas,41.3682,-96.1616,1840007137
Gold Key Lake,Pennsylvania,Pike,41.3145,-74.9434,1840035389
Kellogg,Idaho,Shoshone,47.5371,-116.142,1840018392
Mullens,West Virginia,Wyoming,37.5812,-81.3855,1840006381
Solomons,Maryland,Calvert,38.337,-76.4604,1840006149
Vieques,Puerto Rico,Vieques,18.1462,-65.4429,1630035597
Boutte,Louisiana,St. Charles,29.8825,-90.3935,1840013977
Nokomis,Illinois,Montgomery,39.3002,-89.2851,1840008488
Lake Mack-Forest Hills,Florida,Lake,29.0007,-81.424,1840073860
Connelly Springs,North Carolina,Burke,35.755,-81.4971,1840016231
Mulino,Oregon,Clackamas,45.2234,-122.5617,1840023909
West Falmouth,Massachusetts,Barnstable,41.6012,-70.6364,1840003245
Eudora,Arkansas,Chicot,33.119,-91.264,1840013754
Hyde Park,Pennsylvania,Berks,40.3755,-75.924,1840149782
Kershaw,South Carolina,Lancaster,34.5462,-80.5873,1840016498
Experiment,Georgia,Spalding,33.279,-84.276,1840013099
Ridgebury,Connecticut,Fairfield,41.357,-73.5267,1840044928
Morris,Alabama,Jefferson,33.7464,-86.8042,1840016801
Elk Point,South Dakota,Union,42.6812,-96.6805,1840003080
Johnston,South Carolina,Edgefield,33.8328,-81.8051,1840016778
Hull,Iowa,Sioux,43.1894,-96.1342,1840006873
Stewart Manor,New York,Nassau,40.7202,-73.6854,1840005328
Lake Village,Arkansas,Chicot,33.3287,-91.2847,1840014821
Orchard Hills,Pennsylvania,Armstrong,40.5849,-79.5416,1840005183
Bear Creek Ranch,Texas,Dallas,32.5594,-96.7643,1840148244
Callender,California,San Luis Obispo,35.048,-120.576,1840028058
Enterprise,Oregon,Wallowa,45.4258,-117.2789,1840019919
Presquille,Louisiana,Terrebonne,29.5586,-90.6385,1840025141
Madison,North Carolina,Rockingham,36.3868,-79.975,1840016053
South Deerfield,Massachusetts,Franklin,42.4795,-72.5947,1840004518
Holley,Florida,Santa Rosa,30.454,-86.9036,1840027015
Aliceville,Alabama,Pickens,33.1237,-88.1593,1840013758
Marshfield Hills,Massachusetts,Plymouth,42.1487,-70.7315,1840003208
Albany,Kentucky,Clinton,36.6906,-85.1353,1840013289
Topton,Pennsylvania,Berks,40.5031,-75.7023,1840001192
